"";"cod_mun";"PIB_PC";"PIB_total";"atvidade_economica"
"223";1504604;10124,09;306527,028;"Administração, defesa, educação e saúde públicas e seguridade social"
"224";1504703;11179,94;892438,598;"Administração, defesa, educação e saúde públicas e seguridade social"
"225";1504752;9919,95;155207,505;"Administração, defesa, educação e saúde públicas e seguridade social"
"226";1504802;12223,18;690194,349;"Administração, defesa, educação e saúde públicas e seguridade social"
"227";1504901;6657,43;261177,75;"Administração, defesa, educação e saúde públicas e seguridade social"
"228";1504950;10371,15;215605,883;"Administração, defesa, educação e saúde públicas e seguridade social"
"229";1504976;8445,15;136988,835;"Administração, defesa, educação e saúde públicas e seguridade social"
"230";1505007;8224,19;122885,918;"Administração, defesa, educação e saúde públicas e seguridade social"
"231";1505031;24268,79;608442,934;"Demais serviços"
"232";1505064;11380,39;839895,542;"Administração, defesa, educação e saúde públicas e seguridade social"
"233";1505106;12310,7;624484,815;"Administração, defesa, educação e saúde públicas e seguridade social"
"234";1505205;13655,17;431762,729;"Produção florestal, pesca e aquicultura"
"235";1505304;23921,23;1700273,174;"Indústrias extrativas"
"236";1505403;10824,81;187875,33;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"237";1505437;16924,51;540247,221;"Administração, defesa, educação e saúde públicas e seguridade social"
"238";1505486;12516,6;580557,245;"Administração, defesa, educação e saúde públicas e seguridade social"
"239";1505494;8939,88;66029,966;"Administração, defesa, educação e saúde públicas e seguridade social"
"240";1505502;26810,43;2949844,235;"Indústrias extrativas"
"241";1505536;91086,52;18431904,397;"Indústrias extrativas"
"242";1505551;13927,32;74385,824;"Administração, defesa, educação e saúde públicas e seguridade social"
"243";1505601;6732,02;52913,68;"Administração, defesa, educação e saúde públicas e seguridade social"
"244";1505635;15892,13;200749,379;"Pecuária, inclusive apoio à pecuária"
"245";1505650;8497,74;255858,419;"Administração, defesa, educação e saúde públicas e seguridade social"
"246";1505700;7034,17;212565,5;"Administração, defesa, educação e saúde públicas e seguridade social"
"247";1505809;10742,76;648024,487;"Administração, defesa, educação e saúde públicas e seguridade social"
"248";1505908;7400,22;295942,292;"Administração, defesa, educação e saúde públicas e seguridade social"
"249";1506005;10407,78;302522,858;"Administração, defesa, educação e saúde públicas e seguridade social"
"250";1506104;14168,83;149254,504;"Administração, defesa, educação e saúde públicas e seguridade social"
"251";1506112;6847,38;90638,818;"Administração, defesa, educação e saúde públicas e seguridade social"
